"Name","Country","Years.active","Proven.victims","Possible.victims","Notes","Proven.victims.","Miscellaneous.information","Proven victims","Proven victims*","victims"
"John Wayne Gacy","United States","1972 to 1978","33","34+","Known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. Gacy was known as the ""Killer Clown"" due to the fact he often entertained children at social events dressed in a self devised clown costume. Gacy was executed in 1994.[18]",NA,NA,33,0,33
"Ali Asghar Borujerdi","Iraq","1907 to 1934","33","","Known as ""Asghar the Murderer"". Killed 33 young adults in Iraq and Iran. Executed on June 26, 1934.[19]",NA,NA,33,0,33
"Vasili Komaroff","Russia","1921 to 1923","33","","Known as ""The Wolf of Moscow""; horse trader who killed 33 men. Executed on June 18, 1923.",NA,NA,33,0,33
"Ramadan Abdel Rehim Mansour","Egypt","1999 to 2006","32","32+","Gang leader known as al-Tourbini (""The Express Train""). Raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyoubeya and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times they were thrown into the Nile or buried alive.",NA,NA,32,0,32
"Karl Denke","Germany","1900 to 1924","30","40+","Cannibal mainly targeting travelers, probably striking them with an axe.",NA,NA,30,0,30
"David Thabo Simelane","Swaziland","1999 to 2001","28","45+","Convicted of 28 murders; 45 bodies were found in shallow graves in the woods outside of Manzini. Sentenced to hang on April 1, 2011.[20]",NA,NA,28,0,28
"Dean Corll","United States","1970 to 1973","28","29+","Corll was responsible for the Houston Mass Murders and was murdered by accomplice Elmer Wayne Henley when Corll turned on him. Corll is responsible for the torture and murder of young boys in Pasadena, Tx and elsewhere in southeast Texas.[21][22]",NA,NA,28,0,28
"Maoupa Cedric Maake","South Africa","1996 to 1997","27","35+","Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.[23]",NA,NA,27,0,27
"Juan Vallejo Corona","United States","1971","25","25+","Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms of life imprisonment.",NA,NA,25,0,25
"Wayne Williams","United States","1979 to 1981","24","31","Believed to have perpetrated the Atlanta murders of 1979–1981. After being convicted of two murders and sentenced to life imprisonment, authorities closed 22 other unsolved murders, declaring Williams to have been the perpetrator. Williams has maintained his innocence and the case was reopened as recently as 2005.[24]",NA,NA,24,0,24
"Fritz Haarmann","Germany","1918 to 1924","24","27+","Also known as the Butcher of Hannover and the Vampire of Hannover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Is believed to have been responsible for the murder of 27 boys and young men. He was convicted, found guilty of 24 murders and executed.[25]",NA,NA,24,0,24
"Béla Kiss","Hungary","1912 to 1916","24","24+","Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums in his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.[26]",NA,NA,24,0,24
"Ronald Dominique","United States","1997 to 2006","23","23+","Louisianan serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish.[27]",NA,NA,23,0,23
"Mikhail Popkov","Russia","1992 to 2000","22","29+","Former policeman who was convicted of murdering at least 22 women and sentenced to life in prison in January 2015.",NA,NA,22,0,22
"Earle Nelson","United States","1926 to 1927","22","25","Necrophiliac who targeted and strangled landladies throughout the West Coast during 1926; he was hanged in January 1928; also known as ""Gorilla Killer"" or ""the Dark Strangler"".",NA,NA,22,0,22
"Manuel Octavio Bermúdez","Colombia","1999 to 2003","21","50+","Colombian pedophile and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia.",NA,NA,21,0,21
"Patrick Kearney","United States","1965 to 1977","21","43+","Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them.[28]",NA,NA,21,0,21
"William Bonin","United States","1979 to 1980","21","36+","Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Bonin was convicted of 14 of the freeway murders and was executed in 1996.[29]",NA,NA,21,0,21
"Vasile Tcaciuc","Romania","1917 to 1935","21","26+","Romanian man who lured victims and then murdered them with an axe; he was arrested after a dog found a dead body in his house on 7 September 1935. He confessed to have committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.[30]",NA,NA,21,0,21
"Yoo Young-chul","South Korea","2003 to 2004","21","26","Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession.[31]",NA,NA,21,0,21
"Abdullah Shah","Afghanistan","1990s","20","20+","Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed on April 20, 2004.[32]",NA,NA,20,0,20
"Mohan Kumar","India","2005 to 2009","20","","Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.",NA,NA,20,0,20
"Bulelani Mabhayi","South Africa","2007 to 2012","20","","Known as the ""Monster of Thuleni""; killed 20 women and children from 2007 to 2012. Sentenced to 25 life sentences on September 3, 2013.",NA,NA,20,0,20
"Alexander Spesivtsev","Russia","1991 to 1996","19","82","Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home.",NA,NA,19,0,19
"Larry Eyler","United States","1982 to 1984","19","23+","Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.",NA,NA,19,0,19
"Sergei Ryakhovsky","Russia","1988 to 1993","19","19+","Known as the Balashikha Ripper.[33]",NA,NA,19,0,19
"M. Jaishankar","India","2008 to 2011","19","19+","Accused of killing at least 19 women. Escaped from jail twice.",NA,NA,19,0,19
"Yavuz Yapıcıoğlu","Turkey","1994 to 2002","18+","40+","Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives.",NA,NA,NA,0,NA
"Paul John Knowles","United States","1974","18","35","Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents.",NA,NA,18,0,18
"Thierry Paulin","France","1984 to 1987","18","21","Known as ""The monster of Montmartre"". Killed and robbed old women. Died of AIDS before trial in prison on April 16, 1989.[34]",NA,NA,18,0,18
"Randall Woodfield","United States","1979 to 1981","18","18+","Known as ""The I-5 Killer"" and ""The I-5 Bandit""; Sentenced to life. Drafted by the Green Bay Packers in the 1974 NFL Draft as a wide receiver but did not make the final roster. Suspected of as many as 44 murders.[35]",NA,NA,18,0,18
"Umesh Reddy","India","1996 to 2002","18","18+","Confessed to 18 rapes and murders. Sentenced to death.",NA,NA,18,0,18
"Christopher Mhlengwa Zikode","South Africa","1994 to 1995","18","","Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook KwaZulu Natal from 1994–1995.",NA,NA,18,0,18
"Huang Yong","China","2001 to 2003","17","25","Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003.",NA,NA,17,0,17
"Pedro Pablo Nakada Ludeña","Peru","2005 to 2006","17","25","Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.[36]",NA,NA,17,0,17
"Donato Bilancia","Italy","1997 to 1998","17","","Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during six months. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to life.",NA,NA,17,0,17
"Irina Gaidamachuk","Russia","2002 to 2010","17","","Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison.[37]",NA,NA,17,0,17
"Randy Steven Kraft","United States","1971 to 1983","16","65–67","Convicted on 16 counts of murder but left a cryptic list of 65 murders. May have had an accomplice.[38]",NA,NA,16,0,16
"Mohammed Bijeh","Iran","2004","16","20","Raped and killed at least 16 boys and teenagers. Nicknamed the ""Tehran Desert Vampire"". Was convicted and executed after being lashed in front of a crowd in 2005.[39]",NA,NA,16,0,16
"Michel Fourniret","France","1987 to 2001","16","19","Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003.",NA,NA,16,0,16
"Sipho Agmatir Thwala","South Africa","1996 to 1997","16","19","Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 females; arrested, he was found guilty of 16 murders.[40]",NA,NA,16,0,16
"Jeffrey Dahmer","United States","1978 to 1991","16","17","Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.",NA,NA,16,0,16
"Elias Xitavhudzi","South Africa","1950s","16","","Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was hanged on 14 November 1960.",NA,NA,16,0,16
"Jimmy Maketta","South Africa","April–December 2005","16","","Pleaded guilty to and convicted of 16 murders and 19 rapes committed over a nine-month period in 2005.",NA,NA,16,0,16
"Jack Mogale","South Africa","2008 to 2009","16","","Raped and strangled females in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.",NA,NA,16,0,16
"Robert Lee Yates","United States","1975 to 1998","16","","Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington.",NA,NA,16,0,16
"Pietro Pacciani","Italy","1968 to 1985","16","","Known as The Monster of Florence. Was convicted of the murders in 1994, but the decision was controversially overturned in appeal. However this last decision was overturned by the Supreme Court which ordered a re-trial. This couldn't be held as Pacciani died in 1998. Two of his alleged accomplices were also convicted.[41]",NA,NA,16,0,16
"Carroll Cole","United States","1948 to 1980","16","","Killed 16 people in California, Nevada, Texas.[42]",NA,NA,16,0,16
"Charles Ray Hatcher","United States","1969 to 1982","16","","A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"" [43]",NA,NA,16,0,16
"Jose Antonio Rodriguez Vega","Spain","1987 to 1988","16","","Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, ranging in age from 61 to 93 years old, in and around Santander, Cantabria.",NA,NA,16,0,16
"Saeed Hanaei","Iran","2000 to 2001","16","","Confessed to luring 16 prostitutes to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Hanged in 2002.",NA,NA,16,0,16
"Vladimir Mirgorod","Russia","2002 to 2004","16","","Sentenced to life imprisonment in 2012 for strangling 15 women and one teenage boy to death.",NA,NA,16,0,16
"Atlanta Ripper","United States","1911","15","21","Mystery murderer(s) of fifteen Atlanta women in 1911. May have had as many 21 victims.",NA,NA,15,0,15
"Robert Hansen","United States","1980 to 1983","15","21","Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 15 for which he was convicted.",NA,NA,15,0,15
"Ángel Maturino Reséndiz","Mexico","1986 to 1999","15","18","Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on.[44]",NA,NA,15,0,15
"Dennis Nilsen","United Kingdom","1978 to 1983","12","15–16[45]","Picked up young men in London between 1978 and 1982 and dismembered them, keeping various body parts around his home.[46]",NA,NA,12,0,12
"Elifasi Msomi","South Africa","1950s to 1956","15","","Killed his victims with an axe or a knife in the 1950s; hanged in 1956.",NA,NA,15,0,15
"Chester Turner","United States","1987 to 1998","15","","Convicted of killing 15 people in Los Angeles, California in the 1980s and 1990s. Sentenced to death.",NA,NA,15,0,15
"Bai Baoshan","China","1996 to 1997","15","","Sentenced to 13 years in prison in 1983 for a murder he committed during a failed robbery. Later killed 14 people from 1996 to 1997. Executed on May 6, 1998.",NA,NA,15,0,15
"Carl ""Coral"" Watts","United States","1974 to 1982",NA,"80+",NA,"14","Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down.[47]",0,14,14
"Zdzisław Marchwicki","Poland","1964 to 1970",NA,"21+",NA,"14","Killed 14 women in 1964–1970 in Poland's region of Upper Silesia. Zdzisław Marchwicki (executed in 1977) was most likely the man responsible for the killings; however, his guilt remains in dispute. Also known as Vampire of Silesia.",0,14,14
"Joachim Kroll","Germany","1955 to 1976",NA,"",NA,"14","Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died in prison in 1991.",0,14,14
"Arthur Shawcross","United States","1972 to 1989",NA,"",NA,"14","After being arrested in 1972 for the rape and murder of two children, he was able to plead down to a sentence for manslaughter. After 14½ years of incarceration, he began targeting prostitutes. Strangled and battered his victims. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers"".",0,14,14
"The Doodler","United States","1974 to 1975",NA,"",NA,"14","Sketched then stabbed to death 14 gay men in San Francisco.",0,14,14
"Marcelo Costa de Andrade","Brazil","1991",NA,"",NA,"14","Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims.",0,14,14
"Julio Pérez Silva","Chile","1998 to 2001",NA,"",NA,"14","Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment on February 26, 2004.",0,14,14
"Hua Ruizhou","China","1998 to 2001",NA,"",NA,"14","Killed 14 female prostitutes. Executed by a single gunshot to the head on January 31, 2002.",0,14,14
"Amir Qayyum","Pakistan","2005",NA,"",NA,"14","Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.",0,14,14
"Jake Bird","United States","1930s to 1947",NA,"44",NA,"13","Sentenced to death for the murders of two people; confessed to 44 other murders; eleven were substantiated and he suspected in the rest.[48]",0,13,13
"Belle Gunness","United States","1900? to 1908?",NA,"40+",NA,"13","Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of over 40 murders. Could have faked her own death on the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own.",0,13,13
"Cleveland Torso Murderer","United States","1934 to 1938",NA,"40+",NA,"13","Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.",0,13,13
"Kaspars Petrovs","Latvia","2003",NA,"38+",NA,"13","Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.",0,13,13
"Richard Ramirez","United States","1984 to 1985",NA,"20",NA,"13 [49]","Killed 13 people between June 28, 1984, and August 24, 1985, in Los Angeles. Known as the ""Night Stalker"".[49][50] Ramirez was sentenced to death in 1989, and died of natural causes in 2013 while still on death row.",0,NA,NA
"Peter Sutcliffe","United Kingdom","1975 to 1980",NA,"15",NA,"13","Sutcliffe killed 13 women between October 30, 1975, and November 17, 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper"".[51]",0,13,13
"Francisco Antonio Laureana","Argentina","1974 to 1975",NA,"13+",NA,"13","Raped and murdered at least 13 women. Was killed in a shootout with police.",0,13,13
"Herbert Mullin","United States","1972 to 1973",NA,"",NA,"13","Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea.",0,13,13
"Boston Strangler","United States","1962 to 1964",NA,"",NA,"13","Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession.[52]",0,13,13
"Lorenzo Gilyard","United States","1977 to 1993",NA,"",NA,"13","Known as ""The Kansas City Strangler"". Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life on April 14, 2007.",0,13,13
"Vasiliy Kulik","Russia","1984 to 1986",NA,"",NA,"13","Known as the Irkutsk Monster.[53]",0,13,13
"Johannes Mashiane","South Africa","1982 to 1989",NA,"",NA,"13","Known as ""The Beast of Atteridgeville"" 13 counts of murder, 12 counts of sodomy from 1982–1989.",0,13,13
"Li Wenxian","China","1991 to 1996",NA,"",NA,"13","Known as ""The Guangzhou Ripper"". Killed 13 female prostitutes in Guangzhou. Executed.",0,13,13
"Thozamile Taki","South Africa","2007",NA,"",NA,"13","Known as the ""Sugar cane serial killer"".",0,13,13
"Rainbow Maniac","Brazil","2007 to 2008",NA,"",NA,"13","Shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba.",0,13,13
"Donald Henry Gaskins","United States","1953 to 1982",NA,"31–80+",NA,"12","Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated; one while Gaskins had been on death row. Later claimed on death row that he had murdered between 80 and 110 victims. Executed in September, 1991.",0,12,12
"William Suff","United States","1986 to 1992",NA,"22",NA,"12","County store clerk who raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer"".",0,12,12
"Maury Travis","United States","2000 to 2002",NA,"17",NA,"12","Killed prostitutes in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Committed suicide in prison.",0,12,12
"Kenneth Alessio Bianchi","United States","1977 to 1978",NA,"15",NA,"12","Convicted of strangling twelve females between ages 12 and 28 and suspected in another three cases. One of the ""Hillside Stranglers"".[54]",0,12,12
"Charles Sobhraj","Vietnam","1975 to 1976",NA,"13",NA,"12","French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and from 2004 serving a life sentence in Nepal.",0,12,12
"Joseph Christopher","United States","1980 to 1981",NA,"",NA,"12","Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating 2 of them.",0,12,12
"""Paraquat murders"" killer","Japan","1985",NA,"",NA,"12","Series of indiscriminate poisonings carried out in Japan in 1985 where twelve people were killed.",0,12,12
"John Justin Bunting","Australia","1992 to 1999",NA,"",NA,"12","Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.",0,12,12
"Siswanto","Indonesia","1994 to 1996",NA,"",NA,"12","Alias Robot Gedek. Homeless man that killed 12 boys. Sentenced to death on May 21, 1997. Died in prison on March 26, 2007.",0,12,12
"Enriqueta Martí","Spain","c.1900 to 1912",NA,"Unknown",NA,"12","Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913.",0,12,12
"Herb Baumeister","United States","1990 to 1996",NA,"25+",NA,"11–16","Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only 5 were identified. Committed suicide when faced with arrest.",0,NA,NA
"Sergey Golovkin","Russia","1986 to 1992",NA,"40+",NA,"11","Killed at least 11 boys in the Moscow area between 1986 and 1992.[55] Last person executed in Russia before the death penalty was abolished.",0,11,11
"Juana Barraza","Mexico","late 1990s to 2006",NA,"29–49",NA,"11","Female wrestler who bludgeoned or strangled elderly women to rob them.",0,11,11
"Jack Unterweger","Austria","1974 to 1992",NA,"15",NA,"11","Served 14 years in Austrian prison because of a murder in 1974; killed at least 9 prostitutes after his release. Was a small media star in Austrian media in the early 1990s and was arrested in the United States, where he may have killed another 3 prostitutes, on behalf of Austrian police. Hanged himself in 1994 after being sentenced to life in prison.",0,11,11
"Vaughn Greenwood","United States","1964 to 1975",NA,"13",NA,"11","Known as the ""Skid Row Slasher"". Killed 11 people, suspected of 2 more. Cut victims'throats from ear to ear and may have drank their blood.",0,11,11
"Benjamin Atkins","United States","1991 to 1992",NA,"",NA,"11","Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings.",0,11,11
"Nannie Doss","United States","1927 to 1954",NA,"",NA,"11","Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"".",0,11,11
"Clifford Olson","Canada","1980 to 1981",NA,"",NA,"11","Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected.[56] Died September 30, 2011",0,11,11
"Martin Lecián","Czechoslovakia","1927",NA,"",NA,"11","Responsible for killing 10 policemen and 1 prison officer. Executed in 1927.",0,11,11
"Henri Désiré Landru","France","1915 to 1919",NA,"Unknown",NA,"11","Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least ten women and the teenaged son of one of them, and burned their bodies after he had gained access to their assets. Guillotined.[57]",0,11,11
"West Mesa Killer","United States","2003 to 2005",NA,"",NA,"11","Remains of 11 women, who disappeared between 2003 and 2005, found buried in desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.",0,11,11
"Anthony Sowell","United States","2007 to 2009",NA,"Unknown",NA,"11","Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison.",0,11,11
"Andre Crawford","United States","1993 to 1999",NA,"",NA,"11","Murdered 11 women between 1993 and 1999. Sentenced to life in prison.",0,11,11
"Francisco Garcia Escalero","Spain","1987 to 1994",NA,"",NA,"11","Known as ""The Killer Beggar"", schizophrenic homeless man confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994.",0,11,11
"Zhang Yongming","China","2008 to 2012",NA,"",NA,"11","Sold flesh of the victims as ‘ostrich meat’ and kept eyeballs in wine. Executed.",0,11,11
"Carlos Eduardo Robledo Puch","Argentina","1971",NA,"",NA,"11","Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.",0,11,11
"Adnan Çolak","Turkey","1992 to 1995",NA,"",NA,"11","Killed eleven elderly women aged 68 to 95 and raped six others. Sentenced to death but changed to life in prison after Turkey abolished the death penalty in 2004.",0,11,11
